Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_ec24ff0b	e	您已创建一个新的 Ren'Py 游戏。	game/script.rpy	26	e "[what]"
start_9c2824f4	e	当您完善了故事、图片和音乐之后，您就可以向全世界发布了！	game/script.rpy	28	e "[what]"
ch1_s1_test_xiaoyan_76bb6dd0		“斗之力，三段！”	game/scripts/ch1/ch1_s1_test_xiaoyan.rpy	19	"[what]"
ch1_s1_test_xiaoyan_f1a282fc		望着测验魔石碑上面闪亮得甚至有些刺眼的五个大字，少年面无表情，唇角有着一抹自嘲，紧握的手掌，因为大力，而导致略微尖锐的指甲深深的刺进了掌心之中，带来一阵阵钻心的疼痛……	game/scripts/ch1/ch1_s1_test_xiaoyan.rpy	24	"[what]"
ch1_s1_test_xiaoyan_7d014a54	tm	“萧炎，斗之力，三段！级别：低级！”	game/scripts/ch1/ch1_s1_test_xiaoyan.rpy	29	tm "[what]"
ch1_s1_test_xiaoyan_ddbbb626		测验魔石碑之旁，一位中年男子，看了一眼碑上所显示出来的信息，语气漠然的将之公布了出来……	game/scripts/ch1/ch1_s1_test_xiaoyan.rpy	31	"[what]"
ch1_s1_test_xiaoyan_07c75072		中年男子话刚刚脱口，便是不出意外的在人头汹涌的广场上带起了一阵嘲讽的骚动。	game/scripts/ch1/ch1_s1_test_xiaoyan.rpy	36	"[what]"
ch1_s1_test_xiaoyan_11443460	crowd	“三段？嘿嘿，果然不出我所料，这个‘天才’这一年又是在原地踏步！”	game/scripts/ch1/ch1_s1_test_xiaoyan.rpy	38	crowd "[what]"
ch1_s1_test_xiaoyan_e24818dd	crowd	“哎，这废物真是把家族的脸都给丢光了。”	game/scripts/ch1/ch1_s1_test_xiaoyan.rpy	39	crowd "[what]"
ch1_s1_test_xiaoyan_3cde120a	crowd	“要不是族长是他的父亲，这种废物，早就被驱赶出家族，任其自生自灭了，哪还有机会待在家族中白吃白喝。”	game/scripts/ch1/ch1_s1_test_xiaoyan.rpy	40	crowd "[what]"
ch1_s1_test_xiaoyan_aeb2bbad	crowd	“唉，昔年那名闻乌坦城的天才少年，如今怎么落魄成这般模样了啊？”	game/scripts/ch1/ch1_s1_test_xiaoyan.rpy	41	crowd "[what]"
ch1_s1_test_xiaoyan_2b17636d	crowd	“谁知道呢，或许做了什么亏心事，惹得神灵降怒了吧……”	game/scripts/ch1/ch1_s1_test_xiaoyan.rpy	42	crowd "[what]"
ch1_s1_test_xiaoyan_0d22dd4d		周围传来的不屑嘲笑以及惋惜轻叹，落在那如木桩待在原地的少年耳中，恍如一根根利刺狠狠的扎在心脏一般，让得少年呼吸微微急促。	game/scripts/ch1/ch1_s1_test_xiaoyan.rpy	47	"[what]"
ch1_s1_test_xiaoyan_12c7c05f		少年缓缓抬起头来，露出一张有些清秀的稚嫩脸庞，漆黑的眸子木然的在周围那些嘲讽的同龄人身上扫过，少年嘴角的自嘲，似乎变得更加苦涩了。	game/scripts/ch1/ch1_s1_test_xiaoyan.rpy	52	"[what]"
ch1_s1_test_xiaoyan_c5796b23	xy	“这些人，都如此刻薄势力吗？或许是因为三年前他们曾经在自己面前露出过最谦卑的笑容，所以，如今想要讨还回去吧……”	game/scripts/ch1/ch1_s1_test_xiaoyan.rpy	54	xy "[what]"
ch1_s1_test_xiaoyan_9f7dfdc9		苦涩的一笑，萧炎落寞的转身，安静的回到了队伍的最后一排，孤单的身影，与周围的世界，有些格格不入。	game/scripts/ch1/ch1_s1_test_xiaoyan.rpy	59	"[what]"
ch1_s2_test_xiaomei_fdc29680	tm	“下一个，萧媚！”	game/scripts/ch1/ch1_s2_test_xiaomei.rpy	13	tm "[what]"
ch1_s2_test_xiaomei_37eb54a2		听着测验人的喊声，一名少女快速的人群中跑出，少女刚刚出场，附近的议论声便是小了许多，一双双略微火热的目光，牢牢的锁定着少女的脸颊……	game/scripts/ch1/ch1_s2_test_xiaomei.rpy	18	"[what]"
ch1_s2_test_xiaomei_0d602913		少女年龄不过十四左右，虽然并算不上绝色，不过那张稚气未脱的小脸，却是蕴含着淡淡的妩媚，清纯与妩媚，矛盾的集合，让得她成功的成为了全场瞩目的焦点……	game/scripts/ch1/ch1_s2_test_xiaomei.rpy	23	"[what]"
ch1_s2_test_xiaomei_0101399b		少女快步上前，小手轻车熟路的触摸着漆黑的魔石碑，然后缓缓闭上眼睛……	game/scripts/ch1/ch1_s2_test_xiaomei.rpy	28	"[what]"
ch1_s2_test_xiaomei_bc60a693		在少女闭眼片刻之后，漆黑的魔石碑之上再次亮起了光芒……	game/scripts/ch1/ch1_s2_test_xiaomei.rpy	33	"[what]"
ch1_s2_test_xiaomei_1d7d8a07	tm	“斗之气：七段！”	game/scripts/ch1/ch1_s2_test_xiaomei.rpy	35	tm "[what]"
ch1_s2_test_xiaomei_1c5b4e1f	tm	“萧媚，斗之气：七段！级别：高级！”	game/scripts/ch1/ch1_s2_test_xiaomei.rpy	36	tm "[what]"
ch1_s2_test_xiaomei_9dd9786f	xm	“耶！”	game/scripts/ch1/ch1_s2_test_xiaomei.rpy	41	xm "[what]"
ch1_s2_test_xiaomei_07b7dd65		听着测验员所喊出的成绩，少女脸颊扬起了得意的笑容……	game/scripts/ch1/ch1_s2_test_xiaomei.rpy	43	"[what]"
ch1_s2_test_xiaomei_8be07021	crowd	“啧啧，七段斗之气，真了不起，按这进度，恐怕顶多只需要三年时间，她就能称为一名真正的斗者了吧……”	game/scripts/ch1/ch1_s2_test_xiaomei.rpy	48	crowd "[what]"
